"Species","Bioclimatic zone","Winter habitat","Breeding season habitat","Trend in arrival date (days/year)","Median arrival date*","BBS trend % annual change 1994–2008 (± se)"
"Eurasian Hobby, Falco subbuteo","Southern","General","General","0.70","155","0.84 (± 0.58)"
"Common Sandpiper, Actitis hypoleucos","Humid","Wetland","Wetland","0.68","129","–1.70 (± 0.47)"
"European Turtle Dove, Streptopelia turtur","Humid (Arid)","Open","Farm","1.75","140","–5.55 (± 0.28)"
"Common Cuckoo, Cuculus canorus","Humid (Southern)","Wood","General","0.35","142","–2.98 (± 0.39)"
"Common Swift, Apus apus","Southern","General","General","0.72","162","–2.29 (± 0.53)"
"Sand Martin, Riparia riparia","Arid","General","Wetland","0.77","123","1.96 (± 2.40)"
"Barn Swallow, Hirundo rustica","Southern","General","Farm","0.04","137","2.54 (± 0.43)"
"House Martin, Delichon urbica","Humid (Southern)","General","General","0.64","145","1.00 (± 0.71)"
"Tree Pipit, Anthus trivialis","Humid","Wood","Wood","–1.56","139","–0.71 (± 0.92)"
"Yellow Wagtail, Motacilla flava","Arid","Open","General","–0.09","130","–4.44 (± 0.75)"
"Common Nightingale, Luscinia megarhynchos","Humid","Wood","Wood","–1.47","125","–3.69 (± 0.71)"
"Common Redstart, Phoenicurus phoenicurus","Arid","Wood","Wood","–1.32","140","–0.52 (± 0.80)"
"Whinchat, Saxicola rubetra","Humid","Open","General","–0.67","139","–4.24 (± 0.85)"
"Northern Wheatear, Oenanthe oenanthe","Arid","Open","Moor","0.10","126","–1.62 (± 0.89)"
"Common Grasshopper Warbler, Locustella naevia","Arid","Wetland","General","–0.10","119","–0.02 (± 2.67)"
"Sedge Warbler, Acrocephalus schoenobaenus","Arid","Wetland","Wetland","–0.25","136","0.24 (± 1.17)"
"Eurasian Reed Warbler, Acrocephalus scirpaceus","Humid (Arid)","General","Wetland","0.51","142","2.56 (± 0.51)"
"Lesser Whitethroat, Sylvia curruca","Arid","Wood","General","–0.21","136","–0.02 (± 0.92)"
"Common Whitethroat, Sylvia communis","Arid","Wood","Farm","–0.21","141","1.72 (± 0.51)"
"Blackcap, Sylvia atricapilla","North","Wood","Wood","–0.74","120","4.65 (± 0.60)"
"Garden Warbler, Sylvia borin","Humid","Wood","Wood","0.39","141","–1.80 (± 0.52)"
"Wood Warbler, Phylloscopus sibilatrix","Humid","Wood","Wood","–0.59","131","–4.39 (± 0.72)"
"Common Chiffchaff, Phylloscopus collybita","Arid","General","Wood","–1.24","111","3.73 (± 1.17)"
"Willow Warbler, Phylloscopus trochilus","Humid","Wood","Wood","–0.58","116","–1.63 (± 0.59)"
"Spotted Flycatcher, Muscicapa striata","Humid","Wood","General","0.06","142","–2.79 (± 0.52)"
"Pied Flycatcher, Ficedula hypoleuca","Humid","Wood","Wood","–1.06","139","–4.61 (± 0.55)"
"*days from 1 January; BBS, breeding bird survey.",,,,,,
