type,date,species,Long term change  percentage change,Long term Annual percentage change,Trend,date,Short term percentage change,Annual percentage change,Trend
Farmland Generalists (7),1970 - 2014,Greenfinch (Chloris chloris),-36,-1.01,no change,2009 - 2014,-37,-8.83,strong decline
Farmland Generalists (7),1970 - 2014,Jackdaw (Corvus monedula),137,1.98,weak increase,2009 - 2014,17,3.16,strong increase
Farmland Generalists (7),1970 - 2014,Kestrel (Falco tinnunculus),-31,-0.84,no change,2009 - 2014,-14,-3.07,strong decline
Farmland Generalists (7),1970 - 2014,Reed Bunting (Emberiza schoeniclus),-30,-0.82,no change,2009 - 2014,8,1.46,weak increase
Farmland Generalists (7),1970 - 2014,Rook (Corvus frugilegus),18,0.43,no change,2009 - 2014,-5,-1.1,no change
Farmland Generalists (7),1970 - 2014,Woodpigeon (Columba palumbus),138,1.99,weak increase,2009 - 2014,-4,-0.71,no change
Farmland Generalists (7),1970 - 2014,Yellow Wagtail (Motacilla flava),-66,-2.41,weak decline,2009 - 2014,24,4.44,strong increase
Farmland Generalists (7),1970 - 2014,Corn Bunting (Emberiza calandra),-89,-4.95,strong decline,2009 - 2014,-5,-1,no change
Farmland Specialists (12),1970 - 2014,Goldfinch (Carduelis carduelis),136,1.97,weak increase,2009 - 2014,26,4.74,strong increase
Farmland Specialists (12),1970 - 2014,Grey Partridge (Perdix perdix),-91,-5.42,strong decline,2009 - 2014,-15,-3.3,strong decline
Farmland Specialists (12),1970 - 2014,Lapwing (Vanellus vanellus),-50,-1.58,weak decline,2009 - 2014,-20,-4.34,strong decline
Farmland Specialists (12),1970 - 2014,Linnet (Carduelis cannabina),-63,-2.26,weak decline,2009 - 2014,13,2.52,weak increase
Farmland Specialists (12),1970 - 2014,Skylark (Alauda arvensis),-61,-2.1,weak decline,2009 - 2014,-3,-0.51,no change
Farmland Specialists (12),1970 - 2014,Starling (Sturnus vulgaris),-87,-4.59,strong decline,2009 - 2014,-18,-3.97,strong decline
Farmland Specialists (12),1970 - 2014,Stock Dove (Columba oenas),104,1.64,weak increase,2009 - 2014,21,3.92,strong increase
Farmland Specialists (12),1970 - 2014,Tree Sparrow (Passer montanus),-95,-6.59,strong decline,2009 - 2014,18,3.36,strong increase
Farmland Specialists (12),1970 - 2014,Turtle Dove (Streptopelia turtur),-97,-8.01,strong decline,2009 - 2014,-70,-21.45,strong decline
Farmland Specialists (12),1970 - 2014,Whitethroat (Sylvia communis),-4,-0.09,no change,2009 - 2014,7,1.38,weak increase
Farmland Specialists (12),1970 - 2014,Yellowhammer (Emberiza citrinella),-61,-2.13,weak decline,2009 - 2014,-4,-0.88,no change
Woodland Generalists (12),1970 - 2014,Blackbird (Turdus merula),-19,-0.49,no change,2009 - 2014,-4,-0.75,no change
Woodland Generalists (12),1970 - 2014,Blue Tit (Cyanistes caeruleus),19,0.4,no change,2009 - 2014,-2,-0.49,no change
Woodland Generalists (12),1970 - 2014,Bullfinch (Pyrrhula pyrrhula),-45,-1.36,weak decline,2009 - 2014,8,1.55,weak increase
Woodland Generalists (12),1970 - 2014,Chaffinch (Fringilla coelebs),26,0.52,no change,2009 - 2014,-10,-2.09,weak decline
Woodland Generalists (12),1970 - 2014,Dunnock (Prunella modularis),-35,-0.96,no change,2009 - 2014,-1,-0.1,no change
Woodland Generalists (12),1970 - 2014,Great Tit (Parus major),67,1.17,weak increase,2009 - 2014,-8,-1.56,weak decline
Woodland Generalists (12),1970 - 2014,Lesser Whitethroat (Sylvia curruca),12,0.27,no change,2009 - 2014,2,0.37,no change
Woodland Generalists (12),1970 - 2014,Long-tailed Tit (Aegithalos caudatus),60,1.07,no change,2009 - 2014,-10,-2.05,weak decline
Woodland Generalists (12),1970 - 2014,Robin (Erithacus rubecula),57,1.03,no change,2009 - 2014,-1,-0.13,no change
Woodland Generalists (12),1970 - 2014,Song Thrush (Turdus philomelos),-55,-1.79,weak decline,2009 - 2014,-6,-1.17,weak decline
Woodland Generalists (12),1970 - 2014,Tawny Owl (Strix aluco),-31,-0.83,no change,2009 - 2014,-5,-1.03,no change
Woodland Generalists (12),1970 - 2014,Wren (Troglodytes troglodytes),49,0.91,no change,2009 - 2014,9,1.83,weak increase
Woodland Specialists (22),1970 - 2014,Blackcap (Sylvia atricapilla),251,2.89,strong increase,2009 - 2014,34,5.99,strong increase
Woodland Specialists (22),1970 - 2014,Chiffchaff (Phylloscopus collybita),94,1.52,weak increase,2009 - 2014,22,4.02,strong increase
Woodland Specialists (22),1970 - 2014,Coal Tit (Periparus ater),27,0.55,no change,2009 - 2014,-2,-0.46,no change
Woodland Specialists (22),1970 - 2014,Garden Warbler (Sylvia borin),-18,-0.46,no change,2009 - 2014,-13,-2.68,weak decline
Woodland Specialists (22),1970 - 2014,Goldcrest (Regulus regulus),-21,-0.54,no change,2009 - 2014,12,2.33,weak increase
Woodland Specialists (22),1970 - 2014,Great Spotted Woodpecker (Dendrocopos major),323,3.33,strong increase,2009 - 2014,-5,-0.95,no change
Woodland Specialists (22),1970 - 2014,Green Woodpecker (Picus viridis),136,1.97,weak increase,2009 - 2014,-7,-1.52,weak decline
Woodland Specialists (22),1970 - 2014,Jay (Garrulus glandarius),2,0.04,no change,2009 - 2014,4,0.86,no change
Woodland Specialists (22),1970 - 2014,Lesser Spotted Woodpecker (Dendrocopos minor),-83,-3.98,strong decline,2009 - 2014,-48,-12.34,strong decline
Woodland Specialists (22),1970 - 2014,Marsh Tit (Poecile palustris),-72,-2.82,strong decline,2009 - 2014,-11,-2.2,weak decline
Woodland Specialists (22),1970 - 2014,Nightingale (Luscinia megarhynchos),(1995-2014) -39,-2.57,weak decline,2009 - 2014,26,4.76,strong increase
Woodland Specialists (22),1970 - 2014,Nuthatch (Sitta europaea),248,2.88,strong increase,2009 - 2014,12,2.29,weak increase
Woodland Specialists (22),1970 - 2014,Lesser Redpoll (Carduelis cabaret),-94,-6.13,strong decline,2009 - 2014,28,5.07,strong increase
Woodland Specialists (22),1970 - 2014,Redstart (Phoenicurus phoenicurus),68,1.18,weak increase,2009 - 2014,42,7.3,strong increase
Woodland Specialists (22),1970 - 2014,Sparrowhawk (Accipiter nisus),164,2.23,weak increase,2009 - 2014,-10,-2.15,weak decline
Woodland Specialists (22),1970 - 2014,Spotted Flycatcher (Muscicapa striata),-91,-5.38,strong decline,2009 - 2014,-17,-3.71,strong decline
Woodland Specialists (22),1970 - 2014,Wood Warbler (Phylloscopus sibilatrix),(1995-2014) -77,-7.45,strong decline,2009 - 2014,-43,-10.76,strong decline
Woodland Specialists (22),1970 - 2014,Siskin (Carduelis spinus),(1995-2014) 62,2.58,weak increase,2009 - 2014,11,2.12,weak increase
Woodland Specialists (22),1970 - 2014,Tree Pipit (Anthus trivialis),-87,-4.49,strong decline,2009 - 2014,1,0.13,no change
Woodland Specialists (22),1970 - 2014,Treecreeper (Certhia familiaris),-20,-0.49,no change,2009 - 2014,13,2.43,weak increase
Woodland Specialists (22),1970 - 2014,Willow Tit (Poecile montana),-93,-5.86,strong decline,2009 - 2014,-12,-2.52,weak decline
Woodland Specialists (22),1970 - 2014,Willow Warbler (Phylloscopus trochilus),-65,-2.34,weak decline,2009 - 2014,-13,-2.85,strong decline
Water and wetland Birds of fast flowing water (4),1975 - 2014,Common Sandpiper (Actitis hypoleucos),-33,-1.01,no change,2009 - 2014,4,0.8,no change
Water and wetland Birds of fast flowing water (4),1975 - 2014,Dipper (Cinclus cinclus),-8,-0.22,no change,2009 - 2014,13,2.49,weak increase
Water and wetland Birds of fast flowing water (4),1975 - 2014,Goosander (Mergus merganser),(1981-2015) 98,2.09,weak increase,2009 - 2014,20,3.69,strong increase
Water and wetland Birds of fast flowing water (4),1975 - 2014,Grey Wagtail (Motacilla cinerea),-40,-1.32,weak decline,2009 - 2014,-14,-3,strong decline
Water and wetland Reedbed Birds (4),1975 - 2014,Cetti's Warbler (Cettia cetti),(1989-2015) 498,7.42,strong increase,2009 - 2014,10,1.91,weak increase
Water and wetland Reedbed Birds (4),1975 - 2014,Reed Bunting (Emberiza schoeniclus),-52,-1.89,weak decline,2009 - 2014,-10,-2.14,weak decline
Water and wetland Reedbed Birds (4),1975 - 2014,Reed Warbler (Acrocephalus scirpaceus),(1981-2015) 38,0.99,no change,2009 - 2014,-7,-1.35,weak decline
Water and wetland Reedbed Birds (4),1975 - 2014,Sedge Warbler (Acrocephalus schoenobaenus),-44,-1.49,weak decline,2009 - 2014,-28,-6.43,strong decline
Water and wetland Birds of slow and standing water (6),1975 - 2014,Coot (Fulica atra),78,1.49,weak increase,2009 - 2014,-18,-3.91,strong decline
Water and wetland Birds of slow and standing water (6),1975 - 2014,Great Crested Grebe (Podiceps cristatus),(1995-2015) -22,-1.27,weak decline,2009 - 2014,-10,-1.98,weak decline
Water and wetland Birds of slow and standing water (6),1975 - 2014,Little Grebe (Tachybaptus ruficollis),-12,-0.33,no change,2009 - 2014,-3,-0.7,no change
